,rt:eventAction,rt:eventCategory,rt:eventLabel,rt:totalEvents
0,(not set),(not set),(not set),1
1,100,Scroll,https://www.fordfoundation.org/about/people/martin-abregu/,1
2,100,Scroll,https://www.fordfoundation.org/campaigns/the-art-of-change-meet-our-fellows/sandra-cisneros/,1
3,100,Scroll,https://www.fordfoundation.org/just-matters/ford-forum/the-future-of-philanthropy/forum/,1
4,100,Scroll,https://www.fordfoundation.org/just-matters/just-matters/by-author/,1
5,100,Scroll,https://www.fordfoundation.org/our-work-around-the-world/andean-region/,1
6,100,Scroll,https://www.fordfoundation.org/work/our-grants/,1
7,100,Scroll,https://www.fordfoundation.org/work/our-grants/grants-database/grants-all,1
8,100,Scroll,https://www.fordfoundation.org/work/our-grants/grants-database/grants-all?minyear=2006&maxyear=2021&page=0&minamount=0&maxamount=30000000&originatingoffices=&thematicareas=%26ThematicAreaIds%3D4&grantTypes=%26GrantTypeIds%3D2&subjects=%26SubjectIds%3D7,1
9,100,Scroll,https://www.fordfoundation.org/work/our-grants/grants-database/grants-all?minyear=2006&maxyear=2021&page=0&minamount=0&maxamount=30000000&originatingoffices=&thematicareas=&subjects=&grantTypes=%26GrantTypeIds%3D2,1
10,100,Scroll,https://www.fordfoundation.org/work/our-grants/grants-database/grants-all?page=1,2
11,100,Scroll,https://www.fordfoundation.org/work/our-grants/justfilms/justfilms-inquiry/,1
12,100% Watched,YouTube,How Our Endowment Works - 5qS_tapYGzE,1
13,100% Watched,YouTube,How the Ford Foundation's Grant Making Works - JSz7TSPA4wQ,1
14,100% Watched,YouTube,The Power of a Name ft. Jon Stryker & Van Jones - leC3PvcYNe8,1
15,25,Scroll,https://www.fordfoundation.org/,2
16,25,Scroll,https://www.fordfoundation.org/about/about-ford/,1
17,25,Scroll,https://www.fordfoundation.org/about/careers/,5
18,25,Scroll,https://www.fordfoundation.org/about/library/video/the-story-of-the-south-is-the-story-of-america/?gclid=CjwKCAjwoZWHBhBgEiwAiMN66QFXMzA0IcNznUxncLmQyge_Gnn1s1eOrYAhW9FDj8PG0cXzjR95WBoCOjwQAvD_BwE,1
19,25,Scroll,https://www.fordfoundation.org/about/library/video/the-story-of-the-south-is-the-story-of-america/?gclid=CjwKCAjwoZWHBhBgEiwAiMN66Xa9Jh8ePMLq8y13KAQDCXSTv8hOJGocYox4GlO9494XvJ0LRjTDOhoC7u8QAvD_BwE,1
20,25,Scroll,https://www.fordfoundation.org/about/library/video/the-story-of-the-south-is-the-story-of-america/?gclid=EAIaIQobChMIr-mmi63S8QIV2mpvBB0naQHdEAAYASAAEgJmY_D_BwE,1
21,25,Scroll,https://www.fordfoundation.org/about/people/,3
22,25,Scroll,https://www.fordfoundation.org/about/people/board-of-trustees/,1
23,25,Scroll,https://www.fordfoundation.org/about/people/grant-makers/,1
24,25,Scroll,https://www.fordfoundation.org/about/people/kevin-currey/,1
25,25,Scroll,https://www.fordfoundation.org/about/people/martin-abregu/,1
